************************************************************************************
**  X-ray Anomalous Scattering Data.
**  			
**  Form factor for an atom: f = f0 + f' + if", where f0 is scattering-angle 
**  dependent and energy independent, f' and f" are the corrections along 
**  with energy which are energy-dependent but angle independent.
**  
**  The following data were downloaded from 
**     http://skuld.bmsc.washington.edu/scatter/AS_periodic.html.
**  Energy range: 1.0 - 24.9 KeV; Element Z: 1-92
**  Data set format: X-ray_Energy(KeV)   f'(electron)   f"(electron)   
**
**                                              ----   March 17, 2006
************************************************************************************


Element: H,  Z:  1
01-H data starts
12.000        0.0000000         0.0000134
12.100        0.0000000         0.0000131
12.200        0.0000000         0.0000128
12.300        0.0000000         0.0000126
12.400        0.0000000         0.0000123
12.500        0.0000000         0.0000121
12.600        0.0000000         0.0000118
12.700        0.0000000         0.0000116
12.800        0.0000000         0.0000113
12.900        0.0000000         0.0000111
13.000        0.0000000         0.0000109
13.100        0.0000000         0.0000107
13.200        0.0000000         0.0000105
13.300        0.0000000         0.0000103
13.400        0.0000000         0.0000101
13.500        0.0000000         0.0000099
13.600        0.0000000         0.0000097
13.700        0.0000000         0.0000095
13.800        0.0000000         0.0000094
13.900        0.0000000         0.0000092
14.000        0.0000000         0.0000090
14.100        0.0000000         0.0000089
14.200        0.0000000         0.0000087
14.300        0.0000000         0.0000085
14.400        0.0000000         0.0000084
14.500        0.0000000         0.0000082
14.600        0.0000000         0.0000081
14.700        0.0000000         0.0000080
14.800        0.0000000         0.0000078
14.900        0.0000000         0.0000077
15.000        0.0000000         0.0000076
15.100        0.0000000         0.0000074
15.200        0.0000000         0.0000073
15.300        0.0000000         0.0000072
15.400        0.0000000         0.0000071
15.500        0.0000000         0.0000070
15.600        0.0000000         0.0000068
15.700        0.0000000         0.0000067
15.800        0.0000000         0.0000066
15.900        0.0000000         0.0000065
16.000        0.0000000         0.0000064
16.100        0.0000000         0.0000063
16.200        0.0000000         0.0000062
16.300        0.0000000         0.0000061
16.400        0.0000000         0.0000060
16.500        0.0000000         0.0000059
16.600        0.0000000         0.0000058
16.700        0.0000000         0.0000058
16.800        0.0000000         0.0000057
16.900        0.0000000         0.0000056
17.000        0.0000000         0.0000055
17.100        0.0000000         0.0000054
17.200        0.0000000         0.0000053
17.300        0.0000000         0.0000053
17.400        0.0000000         0.0000052
17.500        0.0000000         0.0000051
17.600        0.0000000         0.0000050
17.700        0.0000000         0.0000050
17.800        0.0000000         0.0000049
17.900        0.0000000         0.0000048
18.000        0.0000000         0.0000048
18.100        0.0000000         0.0000047
18.200        0.0000000         0.0000046
18.300        0.0000000         0.0000046
18.400        0.0000000         0.0000045
18.500        0.0000000         0.0000044
18.600        0.0000000         0.0000044
18.700        0.0000000         0.0000043
18.800        0.0000000         0.0000043
18.900        0.0000000         0.0000042
19.000        0.0000000         0.0000041
19.100        0.0000000         0.0000041
19.200        0.0000000         0.0000040
19.300        0.0000000         0.0000040
19.400        0.0000000         0.0000039
19.500        0.0000000         0.0000039
19.600        0.0000000         0.0000038
19.700        0.0000000         0.0000038
19.800        0.0000000         0.0000037
19.900        0.0000000         0.0000037
20.000        0.0000000         0.0000036
20.100        0.0000000         0.0000036
20.200        0.0000000         0.0000035
20.300        0.0000000         0.0000035
20.400        0.0000000         0.0000035
20.500        0.0000000         0.0000034
20.600        0.0000000         0.0000034
20.700        0.0000000         0.0000033
20.800        0.0000000         0.0000033
20.900        0.0000000         0.0000032
21.000        0.0000000         0.0000032
21.100        0.0000000         0.0000032
21.200        0.0000000         0.0000031
21.300        0.0000000         0.0000031
21.400        0.0000000         0.0000031
21.500        0.0000000         0.0000030
21.600        0.0000000         0.0000030
21.700        0.0000000         0.0000030
21.800        0.0000000         0.0000029
21.900        0.0000000         0.0000029
22.000        0.0000000         0.0000029
22.100        0.0000000         0.0000028
22.200        0.0000000         0.0000028
22.300        0.0000000         0.0000028
22.400        0.0000000         0.0000027
22.500        0.0000000         0.0000027
22.600        0.0000000         0.0000027
22.700        0.0000000         0.0000026
22.800        0.0000000         0.0000026
22.900        0.0000000         0.0000026
23.000        0.0000000         0.0000025
23.100        0.0000000         0.0000025
23.200        0.0000000         0.0000025
23.300        0.0000000         0.0000025
23.400        0.0000000         0.0000024
23.500        0.0000000         0.0000024
23.600        0.0000000         0.0000024
23.700        0.0000000         0.0000024
23.800        0.0000000         0.0000023
23.900        0.0000000         0.0000023
24.000        0.0000000         0.0000023
24.100        0.0000000         0.0000023
24.200        0.0000000         0.0000022
24.300        0.0000000         0.0000022
24.400        0.0000000         0.0000022
24.500        0.0000000         0.0000022
24.600        0.0000000         0.0000021
24.700        0.0000000         0.0000021
24.800        0.0000000         0.0000021
24.900        0.0000000         0.0000021
02-He data ends

Element: Li,  Z:  3
03-Li data starts
 1.000        0.0505840         0.0343881
 1.100        0.0437526         0.0282482
 1.200        0.0382400         0.0235702
 1.300        0.0337248         0.0199291
 1.400        0.0299782         0.0170431
 1.500        0.0268335         0.0147196
 1.600        0.0241672         0.0128233
 1.700        0.0218860         0.0112571
 1.800        0.0199184         0.0099498
 1.900        0.0182091         0.0088482
 2.000        0.0167142         0.0079121
 2.100        0.0153990         0.0071104
 2.200        0.0142355         0.0064192
 2.300        0.0132011         0.0058193
 2.400        0.0122772         0.0052958
 2.500        0.0114439         0.0048364
 2.600        0.0106977         0.0044314
 2.700        0.0100232         0.0040726
 2.800        0.0094115         0.0037534
 2.900        0.0088549         0.0034684
 3.000        0.0083469         0.0032129
 3.100        0.0078814         0.0029864
 3.200        0.0074545         0.0027819
 3.300        0.0070620         0.0025968
 3.400        0.0067003         0.0024287
 3.500        0.0063661         0.0022757
 3.600        0.0060568         0.0021360
 3.700        0.0057700         0.0020082
 3.800        0.0055033         0.0018910
 3.900        0.0052551         0.0017832
 4.000        0.0050236         0.0016839
 4.100        0.0048074         0.0015923
 4.200        0.0046050         0.0015076
 4.300        0.0044154         0.0014292
 4.400        0.0042375         0.0013564
 4.500        0.0040703         0.0012887
 4.600        0.0039130         0.0012257
 4.700        0.0037648         0.0011670
 4.800        0.0036250         0.0011122
 4.900        0.0034930         0.0010610
 5.000        0.0033682         0.0010130
 5.100        0.0032501         0.0009680
 5.200        0.0031381         0.0009258
 5.300        0.0030320         0.0008862
 5.400        0.0029312         0.0008489
 5.500        0.0028355         0.0008138
 5.600        0.0027445         0.0007807
 5.700        0.0026578         0.0007494
 5.800        0.0025753         0.0007199
 5.900        0.0024966         0.0006920
 6.000        0.0024215         0.0006657
 6.100        0.0023498         0.0006407
 6.200        0.0022813         0.0006170
 6.300        0.0022158         0.0005945
 6.400        0.0021531         0.0005732
 6.500        0.0020931         0.0005529
 6.600        0.0020356         0.0005336
 6.700        0.0019804         0.0005152
 6.800        0.0019275         0.0004978
 6.900        0.0018767         0.0004811
 7.000        0.0018280         0.0004652
 7.100        0.0017811         0.0004501
 7.200        0.0017361         0.0004356
 7.300        0.0016927         0.0004218
 7.400        0.0016510         0.0004086
 7.500        0.0016108         0.0003959
 7.600        0.0015721         0.0003838
 7.700        0.0015348         0.0003722
 7.800        0.0014988         0.0003611
