#S 1 1xTE pH7.5 buffer, PEG8k 10-50%
#V User=XiangyunQiu
#V Date=07/07/2007
#V PEG_LotNo=
#V Notes=
#L PEG%_nominal PEGWeight BufWeight PEG%_actual
   0.10    1.3527   12.1254    0.1004
   0.15    2.1926   12.5134    0.1491
   0.20    2.4619    9.8931    0.1993
   0.25    3.1863    9.5311    0.2505
   0.30    4.4868   10.5487    0.2984
   0.35    4.8041    8.9172    0.3501
   0.40    5.4146    8.1458    0.3993
   0.45    5.5543    6.8112    0.4492
   0.50    7.3410    7.3380    0.5001
